"","AFG","ALB","DZA","AGO","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BTN","BOL","BIH","BWA","BRA","BRN","BGR","BFA","BDI","KHM","CMR","CAN","CPV","CAF","TCD","CHL","CHN","COL","COM","COG","CRI","HRV","CUB","CUW","CYP","CZE","DNK","DJI","DOM","COD","ECU","EGY","SLV","GNQ","ERI","EST","ETH","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GRC","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","HND","HKG","HUN","ISL","IND","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LTU","LUX","MAC","MKD","MDG","MWI","MYS","MDV","MLI","MLT","MTQ","MRT","MUS","MYT","MEX","FSM","MDA","MNG","MNE","MAR","MOZ","MMR","NAM","NPL","NLD","NCL","NZL","NIC","NER","NGA","PRK","NOR","OMN","PAK","PSE","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","REU","ROU","RUS","RWA","LCA","VCT","WSM","STP","SAU","SEN","SRB","SYC","SLE","SGP","SVK","SVN","SLB","SOM","ZAF","KOR","SSD","ESP","LKA","SDN","SUR","SWZ","SWE","CHE","SYR","TWN","TJK","TZA","THA","TLS","TGO","TON","TTO","TUN","TUR","TKM","UGA","UKR","ARE","GBR","USA","VIR","URY","UZB","VUT","VEN","VNM","ESH","YEM","ZMB","ZWE"
"1",4434.13333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,1138.66666666667,0,0,0,0,0,0,0,0,0,0,0,16.2666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218.4,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.4,0,0,0,0,0,0,0,247.4,1000,0,0,1381.66666666667,0,0,0,0,1000,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,170.733333333333,0,0,0,0,0,0,58.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.2,0,1196.46666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,3356.1,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.8666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.833333333333,0,0,0,0,170.8,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,6027.66666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,105.066666666667,0,0,0,0,0,0,0,0,0,26.9333333333333,0,0,0,100.4,0,0,0,0,70.1333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.633333333333,0,0,0,0,0,0,0,5882.51666666667,0,0,0,0,0,131.466666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26666666666667,0,0,0,384.616666666667,48,0,0,92.7333333333333,0,0,0,0,0,0,0,57.6,0,0,1050.43333333333,0,0,0,0,0,0,0,0,1048,0,0,1028.36666666667,0,0,0,0,0,0,0,1401.2,0,0,0,0,0,0,0,0,1028.8,0,0,0,0,0,0,0,0,0,0,0,0,19.6666666666667,0,317.666666666667,0,0,13.4666666666667,0,0,0,0,0,1167.81666666667,67.3333333333333,0,0,0,0,0,0,0,0,0,0,0,728.333333333333,0,0,0,0,0,190.8,0,0,0,0,0,0,0,0,0,1302.83333333333,500.766666666667,0,0,0,374.666666666667,170.066666666667,0,0,0,0,0,0,0,500,0,0,0
"4",0,0,0,3409.73333333333,0,0,0,0,0,0,0,0,0,0,0,0,56.8,0,0,0,0,0,0,219.333333333333,0,0,0,0,0,0,0,0,0,0,0,62.6666666666667,0,0,1032,0,0,35.2,0,0,0,0,0,0,1056.8,0,0,0,0,0,0,157,0,0,80.8,0,0,14.25,0,0,57.9333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2,24.8,0,1000,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,627.066666666667,0,0,0,0,0,0,0,0,0,45.6,0,0,0,0,0,0,0,0,0,0,468.133333333333,0,0,70.5333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.466666666667,59.1,0,0,0,0,0,0,0,0,0,1008,8
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.133333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.983333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.45,0,0,0,32.2666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6666666666667,0,0,0,0,0,0,403.033333333333,504.266666666667,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,31186.2,0,0,104,0,0,0,0,0,0,0,0,0,0,0,1304.86666666667,0,0,7268.3,0,0,0,0,0,0,0,0,0,0,4645.33333333333,0,275.733333333333,0,0,0,0,96,0,0,0,0,0,66.8,0,216,0,0,0,0,0,0,0,0,329.6,0,0,0,0,0,328.533333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397.466666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498.4,0,1525.86666666667,1297.13333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.566666666667,0,0,1314.76666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.666666666667,2535.51666666667,0,2494.06666666667,0,0,317.016666666667,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,77.6,1000,0,0,0,0,28.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0666666666667,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,0,0,0,19.4,0,0,0,0,11.2,0,0,0,0,0,0,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8666666666667,0,0,0,0,0,2436.23333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,69.8666666666667,228.2,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.866666666667,0,0,0,0,0,176.266666666667,0,0,0,0,0,590.833333333333,0,0,0,0,507.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.733333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2044.96666666667,0,0,0,0,990.633333333333,0,0,0,0,0
"9",0,0,0,0,0,104,0,0,196612.733333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,252,0,0,0,145.6,3346.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092.06666666667,0,0,0,0,0,0,0,0,0,0,0,0,41.3333333333333,0,0,0,0,0,0,3552.26666666667,0,41.8,238.933333333333,4370.2,0,0,0,0,0,0,0,1404.88333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5425.45,0,0,0,0,0,73.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,778,10996.8833333333,0,0,0,0,0,0,0,0,0,648.25,0,0,569.833333333333,0,0,0,518.933333333333,0,0,0,0,0,0,70.4,0,0,0,0,0,0,9234.96666666667,0,0,119.466666666667,0,579.25,799.733333333333,0,0,0,0,0,0,0,0,0,447.933333333333,0,0,2542.6,89.6666666666667,0,41.0666666666667,0,0,0,0,0,0,5046.03333333333,0,4221.28333333333,0,0,0,274.4,0,625.333333333333,0,0,0,0
"10",0,170.733333333333,0,0,0,0,77.6,0,0,2762.66666666667,46,0,0,0,0,145.333333333333,715.433333333333,0,0,0,0,116.933333333333,0,0,0,640.733333333333,0,0,0,0,117.8,0,0,0,0,114.7,0,0,0,0,324.866666666667,36.1333333333333,0,203.733333333333,1424.8,852.6,0,36.1333333333333,0,0,237.6,0,0,0,0,0,0,234.966666666667,1445.36666666667,0,0,0,0,22.1333333333333,13471.45,0,272.533333333333,0,0,0,0,0,0,0,0,0,0,1203.86666666667,25,158.866666666667,0,24.1333333333333,167.8,168.4,463.2,2582.6,0,0,169.4,129.966666666667,47,17.4166666666667,0,0,0,0,102.2,0,0,0,57.1333333333333,83.2666666666667,159.9,0,141.6,0,0,0,77,0,58.3666666666667,0,0,0,0,0,0,95.1333333333333,0,89.1666666666667,0,0,0,0,0,0,0,0,0,0,0,0,330.666666666667,0,0,0,0,0,0,0,0,551.333333333333,161.2,0,163.6,0,1003.53333333333,1825.76666666667,0,0,0,0,0,0,0,516,0,0,0,1101.33333333333,1102.33333333333,0,0,0,45.2,0,1395.33333333333,0,0,0,0,462.333333333333,3168.95,0,73.6,0,0,421.866666666667,0,0,0,0,30.6,1350.6,0,0,614.233333333333,767.5,2961.4,407.333333333333,0,0,0,0,0,0,0,0,0,0
